ts,open,high,low,close,volume
2015-10-06 00:00:00,240.85,248.19,239.52,246.57,26684.24752551
2015-10-07 00:00:00,246.79,247.65,242.30,243.20,23768.19691198
2015-10-08 00:00:00,243.47,244.76,242.06,242.90,13983.75205653
2015-10-09 00:00:00,243.29,244.95,242.16,244.48,14099.91553839
2015-10-10 00:00:00,244.49,246.43,243.00,245.71,17313.14235341
2015-10-11 00:00:00,245.71,248.50,244.53,248.05,19140.35541080
2015-10-12 00:00:00,248.05,248.47,245.01,245.81,10671.70376409
2015-10-13 00:00:00,245.81,250.89,242.82,249.73,25901.60284773
2015-10-14 00:00:00,249.97,255.93,248.06,252.47,26942.87099630
2015-10-15 00:00:00,252.47,256.50,250.30,254.49,22037.62801049
2015-10-16 00:00:00,254.49,267.00,253.69,263.09,34816.74109381
2015-10-17 00:00:00,263.09,273.00,260.80,270.07,25328.14897726
2015-10-18 00:00:00,270.04,271.17,260.00,261.05,10003.12667189
2015-10-19 00:00:00,260.99,266.01,259.82,263.66,16704.69881339
2015-10-20 00:00:00,264.28,272.95,262.67,270.64,28967.44125269
2015-10-21 00:00:00,270.30,272.69,264.00,267.89,20396.77801306
2015-10-22 00:00:00,267.90,280.04,267.39,275.21,30166.42544252
2015-10-23 00:00:00,275.21,280.19,273.46,278.60,21572.26847047
2015-10-24 00:00:00,278.60,284.00,278.22,282.84,20586.33501752
2015-10-25 00:00:00,283.03,296.00,282.20,283.96,30003.58655651
2015-10-26 00:00:00,283.96,286.99,279.25,286.90,21266.47299543
2015-10-27 00:00:00,286.90,300.00,286.15,295.54,34002.14865181
2015-10-28 00:00:00,295.80,308.48,294.40,305.67,31263.17100679
2015-10-29 00:00:00,305.67,319.60,301.70,314.82,32258.30742612
2015-10-30 00:00:00,314.95,334.05,313.50,328.65,39364.02820732
2015-10-31 00:00:00,328.28,334.67,302.99,310.18,28765.17836259
2015-11-01 00:00:00,310.90,329.85,303.01,325.78,14281.54590222
2015-11-02 00:00:00,325.78,369.02,320.00,361.26,45146.50238984
2015-11-03 00:00:00,361.73,420.77,360.40,404.06,77212.78172074
2015-11-04 00:00:00,404.55,502.00,368.11,408.00,105959.25914077
2015-11-05 00:00:00,407.99,448.79,364.37,385.50,60174.71348846
2015-11-06 00:00:00,387.77,396.67,353.26,374.47,46952.53785182
2015-11-07 00:00:00,374.41,392.82,371.07,383.53,26348.59517250
