ts,open,high,low,close,volume
2025-06-18 00:00:00,2510.40,2548.60,2466.50,2524.70,8277.00193526
2025-06-19 00:00:00,2525.50,2546.90,2485.50,2521.30,7123.09160244
2025-06-20 00:00:00,2522.20,2569.40,2366.70,2407.60,10760.83101385
2025-06-21 00:00:00,2407.20,2448.60,2218.60,2295.70,8342.74756191
2025-06-22 00:00:00,2299.10,2313.90,2115.60,2229.10,12266.32588463
2025-06-23 00:00:00,2228.60,2439.20,2190.30,2413.60,15428.36638874
2025-06-24 00:00:00,2413.90,2482.80,2379.10,2449.80,13204.6090905
2025-06-25 00:00:00,2449.90,2468.30,2392.00,2419.90,7011.15276738
2025-06-26 00:00:00,2420.30,2521.10,2395.50,2417.30,8556.22919316
2025-06-27 00:00:00,2417.10,2465.80,2384.50,2424.30,16999.53988151
2025-06-28 00:00:00,2424.60,2448.80,2407.30,2437.10,3219.58916709
2025-06-29 00:00:00,2437.70,2525.00,2413.90,2501.40,4676.79070189
2025-06-30 00:00:00,2501.50,2523.60,2432.60,2486.00,11587.75069262
2025-07-01 00:00:00,2486.10,2500.90,2385.10,2405.70,6001.78809559
2025-07-02 00:00:00,2405.70,2619.00,2374.60,2571.50,19856.5207118
2025-07-03 00:00:00,2571.30,2636.80,2558.20,2592.00,9313.85482264
2025-07-04 00:00:00,2592.50,2603.30,2475.40,2508.70,7508.12442036
2025-07-05 00:00:00,2508.60,2529.40,2488.80,2517.00,3746.59640069
2025-07-06 00:00:00,2517.90,2605.50,2504.20,2571.00,4376.35239509
2025-07-07 00:00:00,2571.30,2590.50,2514.40,2542.60,6248.68963325
2025-07-08 00:00:00,2542.30,2628.50,2523.80,2616.10,11791.97049633
2025-07-09 00:00:00,2616.70,2795.50,2591.00,2769.90,11441.42033862
2025-07-10 00:00:00,2769.90,3000.70,2756.50,2951.10,19432.92244765
2025-07-11 00:00:00,2951.40,3039.70,2915.10,2959.30,15819.26022818
2025-07-12 00:00:00,2959.40,2980.60,2905.50,2944.20,6978.51784678
2025-07-13 00:00:00,2944.60,3020.90,2937.40,2973.70,7812.23326278
2025-07-14 00:00:00,2974.10,3082.50,2965.00,3014.70,14080.16027539
2025-07-15 00:00:00,3014.60,3143.20,2927.20,3140.00,13511.28545575
2025-07-16 00:00:00,3138.60,3425.00,3101.80,3373.20,20910.01338521
2025-07-17 00:00:00,3373.00,3526.80,3312.00,3480.00,20382.55428181
2025-07-18 00:00:00,3479.80,3676.20,3463.50,3549.00,26152.97553951
2025-07-19 00:00:00,3549.60,3610.60,3509.80,3593.90,4958.57405858
2025-07-20 00:00:00,3594.40,3825.70,3581.90,3758.50,11699.65715015
2025-07-21 00:00:00,3759.40,3859.30,3704.00,3763.30,11228.19942368
2025-07-22 00:00:00,3765.60,3799.80,3620.00,3748.30,10997.98562468
2025-07-23 00:00:00,3748.30,3765.70,3529.80,3630.30,14989.89186717
2025-07-24 00:00:00,3629.70,3773.50,3508.20,3708.00,16214.47285694
2025-07-25 00:00:00,3708.80,3746.40,3576.50,3725.80,16387.48816914
2025-07-26 00:00:00,3725.70,3794.30,3679.90,3741.60,4981.68399556
2025-07-27 00:00:00,3744.10,3880.30,3733.30,3874.00,4817.07014426
2025-07-28 00:00:00,3870.10,3940.50,3751.20,3797.80,15617.71588355
2025-07-29 00:00:00,3799.10,3884.90,3716.90,3793.40,8408.47928041
2025-07-30 00:00:00,3792.90,3833.30,3675.80,3809.00,8447.66698284
2025-07-31 00:00:00,3807.40,3878.30,3684.70,3698.20,7538.9498291
2025-08-01 00:00:00,3698.00,3723.10,3428.90,3487.40,16910.53774965
2025-08-02 00:00:00,3486.50,3536.70,3368.00,3392.70,11113.99489299
2025-08-03 00:00:00,3392.70,3521.70,3355.90,3497.50,5633.45993919
2025-08-04 00:00:00,3497.70,3737.40,3491.80,3721.20,10680.60656487
2025-08-05 00:00:00,3721.20,3721.20,3539.00,3611.00,10394.91989189
2025-08-06 00:00:00,3611.30,3698.40,3563.70,3683.60,10682.52559133
2025-08-07 00:00:00,3683.30,3927.90,3648.40,3911.20,22871.31650674
2025-08-08 00:00:00,3911.20,4070.00,3881.00,4009.80,48506.01816913
2025-08-09 00:00:00,4010.40,4325.60,4007.40,4262.80,29811.35902308
2025-08-10 00:00:00,4262.80,4332.70,4159.50,4251.60,17911.36294681
2025-08-11 00:00:00,4251.60,4365.80,4165.50,4224.20,23008.43374654
2025-08-12 00:00:00,4224.20,4638.30,4220.00,4590.50,31154.30477584
2025-08-13 00:00:00,4590.20,4786.10,4565.70,4751.70,37880.03072745
2025-08-14 00:00:00,4751.20,4791.50,4455.00,4550.90,47526.73319793
2025-08-15 00:00:00,4550.80,4671.60,4370.90,4444.10,25475.7230879
2025-08-16 00:00:00,4443.40,4493.70,4376.80,4424.20,14122.29950434
2025-08-17 00:00:00,4425.10,4578.10,4398.70,4475.70,12144.05781523
2025-08-18 00:00:00,4475.00,4483.60,4228.80,4315.90,22545.96560456
2025-08-19 00:00:00,4315.90,4355.40,4067.60,4075.50,28195.77837615
2025-08-20 00:00:00,4075.80,4378.80,4064.10,4335.40,20875.28252728
2025-08-21 00:00:00,4335.10,4339.80,4204.30,4224.30,14523.67505376
2025-08-22 00:00:00,4223.70,4885.40,4207.00,4829.60,28047.68484409
2025-08-23 00:00:00,4829.50,4829.50,4658.70,4776.80,16451.25539111
2025-08-24 00:00:00,4776.60,4955.30,4708.60,4779.60,14304.59525246
2025-08-25 00:00:00,4780.90,4797.10,4336.90,4378.00,21727.6411538
2025-08-26 00:00:00,4376.50,4633.30,4314.30,4601.10,19381.22311202
2025-08-27 00:00:00,4602.10,4663.30,4479.10,4508.30,14507.26815703
2025-08-28 00:00:00,4507.70,4633.00,4430.00,4512.50,13782.10932581
2025-08-29 00:00:00,4512.40,4517.00,4259.60,4359.60,21854.44231346
2025-08-30 00:00:00,4361.00,4415.10,4258.90,4374.40,5653.98175383
2025-08-31 00:00:00,4374.10,4498.20,4374.00,4393.10,14569.26685117
2025-09-01 00:00:00,4391.60,4491.20,4212.20,4315.00,11617.94104845
2025-09-02 00:00:00,4314.80,4416.50,4257.70,4326.30,15770.23639377
2025-09-03 00:00:00,4326.70,4492.10,4283.50,4452.80,14886.64257151
2025-09-04 00:00:00,4452.70,4483.90,4265.90,4297.80,15951.21989903
2025-09-05 00:00:00,4298.10,4490.90,4127.80,4307.30,26897.28867233
2025-09-06 00:00:00,4307.20,4328.70,4238.20,4274.00,6834.15651212
2025-09-07 00:00:00,4274.30,4335.00,4270.90,4306.10,6035.98580702
2025-09-08 00:00:00,4304.60,4383.90,4278.40,4306.10,9296.48941827
2025-09-09 00:00:00,4306.10,4381.60,4277.50,4310.00,10110.70851293
2025-09-10 00:00:00,4309.90,4453.90,4285.10,4350.00,14635.43523364
2025-09-11 00:00:00,4350.40,4481.00,4339.80,4460.80,13226.23558063
2025-09-12 00:00:00,4460.90,4749.90,4452.40,4715.10,19433.22783933
2025-09-13 00:00:00,4715.20,4768.60,4607.80,4669.10,7273.91998208
2025-09-14 00:00:00,4669.10,4694.10,4580.50,4605.90,4185.85665145
