ts,close
1625875200,5.219e-05
1625961600,5.135e-05
1626048000,5.075e-05
1626134400,4.911e-05
1626220800,4.872e-05
1626307200,4.711e-05
1626393600,4.515e-05
1626480000,4.527e-05
1626566400,4.441e-05
1626652800,4.35e-05
1626739200,4.299e-05
1626825600,4.508e-05
1626912000,4.768e-05
1626998400,4.768e-05
1627084800,4.521e-05
1627171200,4.311e-05
1627257600,4.113e-05
1627344000,3.972e-05
1627430400,3.859e-05
1627516800,4.054e-05
1627603200,4.02e-05
1627689600,4.125e-05
1627776000,4.163e-05
1627862400,4.15e-05
1627948800,4.107e-05
1628035200,4.074e-05
1628121600,4.33e-05
1628208000,4.487e-05
1628294400,4.293e-05
1628380800,4.007e-05
1628467200,4.056e-05
1628553600,4.538e-05
1628640000,4.476e-05
1628726400,4.575e-05
1628812800,4.943e-05
1628899200,4.806e-05
1628985600,4.729e-05
1629072000,4.619e-05
1629158400,4.308e-05
1629244800,4.278e-05
1629331200,4.599e-05
1629417600,4.597e-05
1629504000,4.548e-05
1629590400,4.954e-05
1629676800,4.777e-05
1629763200,4.399e-05
1629849600,4.483e-05
1629936000,4.37e-05
1630022400,4.448e-05
1630108800,4.286e-05
1630195200,4.308e-05
1630281600,4.462e-05
1630368000,4.746e-05
1630454400,4.733e-05
1630540800,4.477e-05
1630627200,4.414e-05
1630713600,4.551e-05
1630800000,4.79e-05
1630886400,4.718e-05
1630972800,4.249e-05
1631059200,4.318e-05
1631145600,5.132e-05
1631232000,4.773e-05
1631318400,5.023e-05
1631404800,5.264e-05
1631491200,5.253e-05
1631577600,5.94e-05
1631664000,6.26e-05
1631750400,6.494e-05
1631836800,5.921e-05
1631923200,5.975e-05
1632009600,6.442e-05
1632096000,5.596e-05
1632182400,5.405e-05
1632268800,5.614e-05
1632355200,6.213e-05
1632441600,5.679e-05
1632528000,5.405e-05
1632614400,5.892e-05
1632700800,5.621e-05
1632787200,5.432e-05
1632873600,5.51e-05
1632960000,5.331e-05
1633046400,5.262e-05
1633132800,5.322e-05
1633219200,5.847e-05
1633305600,5.85e-05
1633392000,5.702e-05
1633478400,4.944e-05
1633564800,5.225e-05
1633651200,5.476e-05
1633737600,5.283e-05
1633824000,4.934e-05
1633910400,4.688e-05
1633996800,4.798e-05
1634083200,5.165e-05
1634169600,5.038e-05
1634256000,4.697e-05
1634342400,4.778e-05
1634428800,4.66e-05
1634515200,4.504e-05
1634601600,4.35e-05
1634688000,4.448e-05
1634774400,4.595e-05
1634860800,5.483e-05
1634947200,6.031e-05
1635033600,5.751e-05
1635120000,7.61e-05
1635206400,7.677e-05
1635292800,7.6e-05
1635379200,7.838e-05
1635465600,7.5e-05
1635552000,7.655e-05
1635638400,7.203e-05
1635724800,7.395e-05
1635811200,6.788e-05
1635897600,6.982e-05
1635984000,6.779e-05
1636070400,6.679e-05
1636156800,6.679e-05
1636243200,7.097e-05
1636329600,6.865e-05
1636416000,6.751e-05
1636502400,6.277e-05
1636588800,6.429e-05
1636675200,6.279e-05
1636761600,6.558e-05
1636848000,6.304e-05
1636934400,6.188e-05
1637020800,6.164e-05
1637107200,6.683e-05
1637193600,7.26e-05
1637280000,6.832e-05
1637366400,6.605e-05
1637452800,6.487e-05
1637539200,7.578e-05
1637625600,8.797e-05
1637712000,0.00010243
1637798400,0.00010027
1637884800,9.176e-05
1637971200,8.836e-05
1638057600,8.531e-05
1638144000,8.118e-05
1638230400,8.821e-05
1638316800,8.718e-05
1638403200,8.396e-05
1638489600,8.148e-05
1638576000,7.603e-05
1638662400,7.331e-05
1638748800,7.363e-05
1638835200,8.229e-05
1638921600,8.265e-05
1639008000,7.701e-05
1639094400,7.09e-05
1639180800,7.562e-05
1639267200,7.651e-05
1639353600,7.12e-05
1639440000,7.094e-05
1639526400,7.575e-05
1639612800,8.033e-05
1639699200,9.285e-05
1639785600,9.65e-05
1639872000,8.929e-05
1639958400,8.783e-05
1640044800,9.45e-05
1640131200,0.00010385
1640217600,0.00010212
1640304000,0.00010206
1640390400,0.00011585
1640476800,0.00011304
1640563200,0.0001042
1640649600,9.922e-05
1640736000,0.00010407
1640822400,0.00010858
1640908800,0.00011512
1640995200,0.00013
1641081600,0.00012772
1641168000,0.00014024
1641254400,0.00013252
1641340800,0.00012425
1641427200,0.00012545
1641513600,0.00012028
1641600000,0.00011031
1641686400,0.00010764
1641772800,0.00010331
1641859200,0.00010801
1641945600,0.00011164
1642032000,0.00011811
1642118400,0.00012408
1642204800,0.00012257
1642291200,0.00011924
1642377600,0.00011319
